Тренирање на DQN агент...
DQNAgent | Епизода  59 | Макс. позиција: -0.45 | Вкупна награда:    91.0 | Епсилон: 0.74
DQNAgent | Епизода  60 | Макс. позиција: -0.44 | Вкупна награда:    54.6 | Епсилон: 0.74
DQNAgent | Епизода  61 | Макс. позиција: -0.48 | Вкупна награда:   108.5 | Епсилон: 0.74
DQNAgent | Епизода  62 | Макс. позиција: -0.47 | Вкупна награда:    77.2 | Епсилон: 0.73
DQNAgent | Епизода  63 | Макс. позиција: -0.35 | Вкупна награда:   384.4 | Епсилон: 0.73
DQNAgent | Епизода  64 | Макс. позиција: -0.39 | Вкупна награда:   221.0 | Епсилон: 0.73
DQNAgent | Епизода  65 | Макс. позиција: -0.42 | Вкупна награда:   109.3 | Епсилон: 0.72
DQNAgent | Епизода  66 | Макс. позиција: -0.47 | Вкупна награда:    70.8 | Епсилон: 0.72
DQNAgent | Епизода  67 | Макс. позиција: -0.41 | Вкупна награда:   237.0 | Епсилон: 0.71
DQNAgent | Епизода  68 | Макс. позиција: -0.35 | Вкупна награда:   286.5 | Епсилон: 0.71
DQNAgent | Епизода  69 | Макс. позиција: -0.47 | Вкупна награда:   120.4 | Епсилон: 0.71
DQNAgent | Епизода  70 | Макс. позиција: -0.45 | Вкупна награда:    66.6 | Епсилон: 0.70
DQNAgent | Епизода  71 | Макс. позиција: -0.31 | Вкупна награда:   275.8 | Епсилон: 0.70
DQNAgent | Епизода  72 | Макс. позиција: -0.39 | Вкупна награда:   262.2 | Епсилон: 0.70
DQNAgent | Епизода  73 | Макс. позиција: -0.40 | Вкупна награда:   346.3 | Епсилон: 0.69
DQNAgent | Епизода  74 | Макс. позиција: -0.39 | Вкупна награда:   231.4 | Епсилон: 0.69
DQNAgent | Епизода  75 | Макс. позиција: -0.17 | Вкупна награда:   993.9 | Епсилон: 0.69
DQNAgent | Епизода  76 | Макс. позиција: -0.25 | Вкупна награда:   721.6 | Епсилон: 0.68
DQNAgent | Епизода  77 | Макс. позиција: -0.23 | Вкупна награда:   622.9 | Епсилон: 0.68
DQNAgent | Епизода  78 | Макс. позиција: -0.37 | Вкупна награда:    96.0 | Епсилон: 0.68
DQNAgent | Епизода  79 | Макс. позиција: -0.38 | Вкупна награда:   116.7 | Епсилон: 0.67
DQNAgent | Епизода  80 | Макс. позиција: -0.10 | Вкупна награда:  1531.7 | Епсилон: 0.67
DQNAgent | Епизода  81 | Макс. позиција: -0.16 | Вкупна награда:  1281.6 | Епсилон: 0.67
DQNAgent | Епизода  82 | Макс. позиција: -0.32 | Вкупна награда:   365.8 | Епсилон: 0.66
DQNAgent | Епизода  83 | Макс. позиција: -0.26 | Вкупна награда:   425.1 | Епсилон: 0.66
DQNAgent | Епизода  84 | Макс. позиција: -0.05 | Вкупна награда:  1938.5 | Епсилон: 0.66
DQNAgent | Епизода  85 | Макс. позиција: -0.21 | Вкупна награда:   226.5 | Епсилон: 0.65
DQNAgent | Епизода  86 | Макс. позиција: -0.41 | Вкупна награда:   -14.1 | Епсилон: 0.65
DQNAgent | Епизода  87 | Макс. позиција: -0.12 | Вкупна награда:   745.6 | Епсилон: 0.65
DQNAgent | Епизода  88 | Макс. позиција: -0.35 | Вкупна награда:    34.3 | Епсилон: 0.64
DQNAgent | Епизода  89 | Макс. позиција: -0.39 | Вкупна награда:    16.4 | Епсилон: 0.64
DQNAgent | Епизода  90 | Макс. позиција: -0.33 | Вкупна награда:    60.1 | Епсилон: 0.64
DQNAgent | Епизода  91 | Макс. позиција: -0.38 | Вкупна награда:    24.8 | Епсилон: 0.63
DQNAgent | Епизода  92 | Макс. позиција: -0.36 | Вкупна награда:    46.7 | Епсилон: 0.63
DQNAgent | Епизода  93 | Макс. позиција: -0.36 | Вкупна награда:   112.4 | Епсилон: 0.63
DQNAgent | Епизода  94 | Макс. позиција: -0.37 | Вкупна награда:    28.0 | Епсилон: 0.62
DQNAgent | Епизода  95 | Макс. позиција: -0.36 | Вкупна награда:    11.9 | Епсилон: 0.62
DQNAgent | Епизода  96 | Макс. позиција: -0.36 | Вкупна награда:    45.0 | Епсилон: 0.62
DQNAgent | Епизода  97 | Макс. позиција: -0.38 | Вкупна награда:    26.3 | Епсилон: 0.61
DQNAgent | Епизода  98 | Макс. позиција: -0.39 | Вкупна награда:    -9.4 | Епсилон: 0.61
DQNAgent | Епизода  99 | Макс. позиција: -0.04 | Вкупна награда:  1045.0 | Епсилон: 0.61
DQNAgent | Епизода 100 | Макс. позиција: -0.34 | Вкупна награда:    33.4 | Епсилон: 0.61
DQNAgent | Епизода 101 | Макс. позиција: -0.42 | Вкупна награда:   -12.6 | Епсилон: 0.60
DQNAgent | Епизода 102 | Макс. позиција:  0.13 | Вкупна награда:  1264.9 | Епсилон: 0.60
DQNAgent | Епизода 103 | Макс. позиција: -0.32 | Вкупна награда:    69.9 | Епсилон: 0.60
DQNAgent | Епизода 104 | Макс. позиција: -0.32 | Вкупна награда:    91.6 | Епсилон: 0.59
DQNAgent | Епизода 105 | Макс. позиција: -0.20 | Вкупна награда:   250.0 | Епсилон: 0.59
DQNAgent | Епизода 106 | Макс. позиција: -0.32 | Вкупна награда:    58.6 | Епсилон: 0.59
DQNAgent | Епизода 107 | Макс. позиција: -0.32 | Вкупна награда:   139.3 | Епсилон: 0.58
DQNAgent | Епизода 108 | Макс. позиција: -0.40 | Вкупна награда:   -10.3 | Епсилон: 0.58
DQNAgent | Епизода 109 | Макс. позиција: -0.32 | Вкупна награда:    52.8 | Епсилон: 0.58
DQNAgent | Епизода 110 | Макс. позиција: -0.33 | Вкупна награда:    88.0 | Епсилон: 0.58
DQNAgent | Епизода 111 | Макс. позиција: -0.07 | Вкупна награда:   379.1 | Епсилон: 0.57
DQNAgent | Епизода 112 | Макс. позиција: -0.16 | Вкупна награда:   268.3 | Епсилон: 0.57
DQNAgent | Епизода 113 | Макс. позиција: -0.37 | Вкупна награда:    25.7 | Епсилон: 0.57
DQNAgent | Епизода 114 | Макс. позиција: -0.38 | Вкупна награда:    43.0 | Епсилон: 0.56
DQNAgent | Епизода 115 | Макс. позиција: -0.38 | Вкупна награда:    15.3 | Епсилон: 0.56
DQNAgent | Епизода 116 | Макс. позиција: -0.40 | Вкупна награда:     4.8 | Епсилон: 0.56
DQNAgent | Епизода 117 | Макс. позиција: -0.41 | Вкупна награда:     1.4 | Епсилон: 0.56
DQNAgent | Епизода 118 | Макс. позиција: -0.12 | Вкупна награда:   440.5 | Епсилон: 0.55
DQNAgent | Епизода 119 | Макс. позиција:  0.45 | Вкупна награда:  2722.5 | Епсилон: 0.55
DQNAgent | Епизода 120 | Макс. позиција: -0.39 | Вкупна награда:    11.8 | Епсилон: 0.55
DQNAgent | Епизода 121 | Макс. позиција:  0.50 | Вкупна награда:  4076.8 | Епсилон: 0.55
Успех постигнат во епизода 121! Позиција: 0.50

Тренирање на DDQN агент...
DDQNAgent | Епизода   1 | Макс. позиција: -0.32 | Вкупна награда:   182.3 | Епсилон: 0.99
DDQNAgent | Епизода   2 | Макс. позиција: -0.29 | Вкупна награда:   309.6 | Епсилон: 0.99
DDQNAgent | Епизода   3 | Макс. позиција: -0.34 | Вкупна награда:   202.5 | Епсилон: 0.99
DDQNAgent | Епизода   4 | Макс. позиција: -0.36 | Вкупна награда:   150.8 | Епсилон: 0.98
DDQNAgent | Епизода   5 | Макс. позиција: -0.40 | Вкупна награда:   139.7 | Епсилон: 0.98
DDQNAgent | Епизода   6 | Макс. позиција: -0.38 | Вкупна награда:   100.6 | Епсилон: 0.97
DDQNAgent | Епизода   7 | Макс. позиција: -0.38 | Вкупна награда:    14.9 | Епсилон: 0.97
DDQNAgent | Епизода   8 | Макс. позиција: -0.42 | Вкупна награда:    18.4 | Епсилон: 0.96
DDQNAgent | Епизода   9 | Макс. позиција: -0.43 | Вкупна награда:    41.1 | Епсилон: 0.96
DDQNAgent | Епизода  10 | Макс. позиција: -0.48 | Вкупна награда:   -10.1 | Епсилон: 0.95
DDQNAgent | Епизода  11 | Макс. позиција: -0.41 | Вкупна награда:    -1.0 | Епсилон: 0.95
DDQNAgent | Епизода  12 | Макс. позиција: -0.37 | Вкупна награда:    90.5 | Епсилон: 0.94
